DATE,EXPIRY,STRIKE_PRC,TIME_MC,F,MD,MD_Close,N,C,BID,ASK
19/4/2018,0,31400,16:00,30724.5,27/4/2018,30149.5,6,1,70,71
19/4/2018,0,32400,16:00,30724.5,27/4/2018,30149.5,6,1,9,11
19/4/2018,0,31200,16:00,30724.5,27/4/2018,30149.5,6,1,107,109
19/4/2018,0,31000,16:00,30724.5,27/4/2018,30149.5,6,0,435,444
19/4/2018,0,32600,16:00,30724.5,27/4/2018,30149.5,6,1,7,8
19/4/2018,0,30800,16:00,30724.5,27/4/2018,30149.5,6,1,246,249
19/4/2018,0,30800,16:00,30724.5,27/4/2018,30149.5,6,0,320,325
19/4/2018,0,30600,16:00,30724.5,27/4/2018,30149.5,6,1,354,358
19/4/2018,0,30600,16:00,30724.5,27/4/2018,30149.5,6,0,230,232
19/4/2018,0,30400,16:00,30724.5,27/4/2018,30149.5,6,1,487,495
19/4/2018,0,30400,16:00,30724.5,27/4/2018,30149.5,6,0,165,167
19/4/2018,0,31000,16:00,30724.5,27/4/2018,30149.5,6,1,165,167
19/4/2018,0,32200,16:00,30724.5,27/4/2018,30149.5,6,1,13,14
19/4/2018,0,31800,16:00,30724.5,27/4/2018,30149.5,6,1,28,29
19/4/2018,0,30200,16:00,30724.5,27/4/2018,30149.5,6,1,623,663
19/4/2018,0,30200,16:00,30724.5,27/4/2018,30149.5,6,0,119,121
19/4/2018,0,30000,16:00,30724.5,27/4/2018,30149.5,6,0,88,89
19/4/2018,0,29800,16:00,30724.5,27/4/2018,30149.5,6,0,65,66
19/4/2018,0,29600,16:00,30724.5,27/4/2018,30149.5,6,0,48,50
19/4/2018,0,29400,16:00,30724.5,27/4/2018,30149.5,6,0,36,38
19/4/2018,0,29200,16:00,30724.5,27/4/2018,30149.5,6,0,27,29
19/4/2018,0,29000,16:00,30724.5,27/4/2018,30149.5,6,0,21,23
19/4/2018,0,28800,16:00,30724.5,27/4/2018,30149.5,6,0,17,18
19/4/2018,0,28600,16:00,30724.5,27/4/2018,30149.5,6,0,13,15
19/4/2018,0,28200,16:00,30724.5,27/4/2018,30149.5,6,0,8,10
19/4/2018,0,27600,16:00,30724.5,27/4/2018,30149.5,6,0,5,6
19/4/2018,0,27400,16:00,30724.5,27/4/2018,30149.5,6,0,5,6
19/4/2018,0,28000,16:00,30724.5,27/4/2018,30149.5,6,0,7,8
19/4/2018,0,28400,16:00,30724.5,27/4/2018,30149.5,6,0,10,12
19/4/2018,0,27800,16:00,30724.5,27/4/2018,30149.5,6,0,5,7
19/4/2018,1,25800,16:00,30557,30/5/2018,30054,26,0,18,24
19/4/2018,1,30000,16:00,30557,30/5/2018,30054,26,0,430,435
19/4/2018,1,27400,16:00,30557,30/5/2018,30054,26,0,56,62
19/4/2018,1,30000,16:00,30557,30/5/2018,30054,26,1,962,1012
19/4/2018,1,26000,16:00,30557,30/5/2018,30054,26,0,22,25
19/4/2018,1,30800,16:00,30557,30/5/2018,30054,26,1,529,534
19/4/2018,1,33800,16:00,30557,30/5/2018,30054,26,1,21,25
19/4/2018,1,33400,16:00,30557,30/5/2018,30054,26,1,34,38
19/4/2018,1,33600,16:00,30557,30/5/2018,30054,26,1,27,30
19/4/2018,1,30400,16:00,30557,30/5/2018,30054,26,1,737,746
19/4/2018,1,32800,16:00,30557,30/5/2018,30054,26,1,66,71
19/4/2018,1,33200,16:00,30557,30/5/2018,30054,26,1,43,45
19/4/2018,1,29800,16:00,30557,30/5/2018,30054,26,0,368,374
19/4/2018,1,28800,16:00,30557,30/5/2018,30054,26,0,168,173
19/4/2018,1,31200,16:00,30557,30/5/2018,30054,26,0,988,1038
19/4/2018,1,26200,16:00,30557,30/5/2018,30054,26,0,25,28
19/4/2018,1,31800,16:00,30557,30/5/2018,30054,26,1,198,203
19/4/2018,1,31200,16:00,30557,30/5/2018,30054,26,1,363,370
19/4/2018,1,27800,16:00,30557,30/5/2018,30054,26,0,77,82
