,game_date,home_team,Stadium,week,away_team,weekday,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_city,away_team_city,total_attendance,home_attendance,away_attendance,weekly_attendance,wins,loss,points_for,points_against,points_differential,margin_of_victory,strength_of_schedule,simple_rating,offensive_ranking,defensive_ranking,playoffs,superbowl_winner,Capacity,Turf,Temperature,EstimatedCondition
3985,28/9/2014,6,27,4,12,4,13:02:00,38,17,358,0,496,2,6,12,1050366,493449,556917,61736,5,11,319,442,-123,-7.7,1,-6.7,-2,-4.7,1,1,61500,3,75.02,2
3986,16/10/2005,22,28,6,2,4,13:03:00,34,31,266,1,456,2,21,2,970678,417270,553408,65562,3,13,235,398,-163,-10.2,-0.9,-11.1,-6.2,-4.9,1,1,74295,2,75.02,2
3987,6/11/2011,22,28,9,32,4,13:03:00,27,16,453,1,365,0,21,30,1105934,584335,521599,73043,13,3,547,339,208,13,-1.6,11.4,10.6,0.8,2,1,74295,2,75.02,4
3988,18/11/2018,22,28,11,26,4,16:25:00,48,7,546,0,196,3,21,24,1147700,584411,563289,73042,13,3,504,353,151,9.4,0.6,10.1,7.9,2.2,2,1,74295,2,75.02,2
3989,1/10/2000,31,29,5,28,4,13:02:00,57,31,614,0,381,2,29,26,1081368,528402,552966,66010,10,6,540,471,69,4.3,-1.2,3.1,12.6,-9.5,2,1,67277,2,75.02,2
3990,11/9/2011,31,29,1,26,4,13:00:00,31,13,403,1,335,1,29,24,1002051,451153,550898,56722,2,14,193,407,-214,-13.4,2.9,-10.4,-8.4,-2.1,1,1,67277,2,75.02,2
3991,21/9/2014,31,29,3,9,4,13:00:00,34,31,340,2,448,3,29,9,999412,456146,543266,58739,6,10,324,354,-30,-1.9,1,-0.8,-1.2,0.4,1,1,67277,2,75.02,2
3992,1/10/2000,15,30,5,27,4,13:03:00,24,13,332,3,206,2,15,25,991957,482510,509447,64351,7,9,367,327,40,2.5,-1.4,1.1,3.2,-2.1,1,1,67264,3,75.02,2
3993,21/11/2004,15,30,11,33,4,13:02:00,18,15,295,2,274,2,15,31,1051556,555464,496092,69703,9,7,261,280,-19,-1.2,1.9,0.8,-5.7,6.4,1,1,67264,3,75.02,2
3994,26/10/2014,15,30,8,19,4,13:02:00,27,13,326,1,377,3,15,18,1066627,524335,542292,65633,3,13,249,412,-163,-10.2,-0.3,-10.5,-7.8,-2.7,1,1,67264,3,75.02,2
