"","x"
"816",78601
"817",78606
"818",60292
"819",78722
"820",72654
"821",78823
"822",78766
"823",72642
"824",70020
"825",78234
"826",74259
"827",78712
"828",62884
"829",77745
"830",56302
"831",78200
"832",62011
"833",78844
"834",73404
"835",54629
"836",61535
"837",56972
"838",65342
"839",62637
"840",67231
"841",61960
"842",78756
"843",46601
"844",60784
"845",67349
"846",61934
"847",75582
"848",62011
"849",66243
"850",62826
"851",66621
"852",66360
"853",78821
"854",65342
"855",33430
"856",65638
"857",63204
"858",65666
"859",77087
"860",65438
"861",84936
"862",68124
"863",65885
"864",65541
"865",63785
"866",72874
"867",62335
"868",78413
"869",65588
"870",63763
"871",62906
"872",73218
"873",62644
"874",68801
"875",62661
"876",62884
"877",69506
"878",62809
"879",63751
"880",59189
"881",60629
"882",63430
"883",56048
"884",73018
"885",60292
"886",67521
"887",63698
"888",58789
"889",74951
"890",61960
"891",49398
"892",55466
"893",65438
"894",67349
"895",76131
"896",51412
"897",65989
"898",67536
"899",78722
"900",66944
"901",46727
"902",66944
"903",67605
"904",68083
"905",72665
"906",56393
"907",67252
"908",66218
"909",68223
"910",68124
"911",64366
"912",70020
"913",72318
"914",62826
"915",54629
"916",54524
"917",61837
"918",59108
"919",82352
"920",67231
"921",60836
"922",77357
"923",55466
"924",74524
"925",63366
"926",78119
"927",51412
"928",58460
"929",66243
"930",67536
"931",66046
"932",77765
"933",65992
"934",78766
"935",66189
"936",66069
"937",60292
"938",66198
"939",59318
"940",66218
"941",70332
"942",72438
"943",66084
"944",66033
"945",61521
"946",64105
"947",65510
"948",68798
"949",65588
"950",65558
"951",59861
"952",74268
"953",65612
"954",66198
"955",52135
"956",65514
"957",66944
"958",65526
"959",65619
"960",65541
"961",68798
"962",65994
"963",69494
"964",68798
"965",76940
"966",63763
"967",68798
"968",68798
"969",63865
"970",68801
"971",72818
"972",64271
"973",68804
"974",61934
"975",68798
"976",68798
"977",60629
"978",59771
"979",76573
"980",78651
"981",63941
"982",74480
"983",80316
"984",82352
"985",74622
"986",65666
